"user_a","user_b","interactions"
"sxuereb","tmaczukin","292"
"avonbertoldi","ratchade","131"
"ajwalker","avonbertoldi","120"
"ggeorgiev_gitlab","pedropombeiro","88"
"pedropombeiro","sxuereb","87"
"ayufan","tmaczukin","85"
"ggeorgiev_gitlab","ratchade","79"
"nolith","tmaczukin","75"
"eread","marcel.amirault","74"
"ajwalker","ggeorgiev_gitlab","70"
"ajwalker","ratchade","66"
"avonbertoldi","stanhu","61"
"eread","sxuereb","61"
"ajwalker","tmaczukin","60"
"avonbertoldi","ggeorgiev_gitlab","54"
"ggeorgiev_gitlab","sxuereb","51"
"ggeorgiev_gitlab","tmaczukin","45"
"marcel.amirault","sselhorn","41"
"ajwalker","sxuereb","38"
"DarrenEastman","ashrafkhamis","37"
"aqualls","sselhorn","34"
"ayufan","sxuereb","34"
"ggeorgiev_gitlab","hoegaarden","33"
"ajwalker","pedropombeiro","31"
"marcel.amirault","sxuereb","30"
"pedropombeiro","tmaczukin","30"
"DarrenEastman","sselhorn","29"
"avonbertoldi","hoegaarden","29"
"ayufan","nolith","28"
"ajwalker","stanhu","27"
"pedropombeiro","ratchade","26"
"fneill","ratchade","26"
"sselhorn","sxuereb","26"
"DarrenEastman","rsarangadharan","25"
"hoegaarden","ratchade","22"
"axil","eread","21"
"eread","sselhorn","21"
"DarrenEastman","fneill","20"
"axil","tmaczukin","19"
"dbickford","josephburnett","19"
"fneill","pedropombeiro","19"
"nolith","sxuereb","18"
"avonbertoldi","rsarangadharan","17"
"avonbertoldi","fneill","17"
"fneill","lciutacu","16"
"hoegaarden","rsarangadharan","14"
"ajwalker","josephburnett","14"
"ajwalker","fneill","14"
"nick.thomas","tmaczukin","14"
"ggeorgiev_gitlab","sselhorn","14"
"ajwalker","hoegaarden","13"
"fneill","ggeorgiev_gitlab","13"
"DarrenEastman","marcel.amirault","12"
"lraykov","pedropombeiro","12"
"ggeorgiev_gitlab","stanhu","12"
"marcel.amirault","pedropombeiro","12"
"avonbertoldi","tmaczukin","12"
"erushton","sxuereb","12"
"ratchade","rsarangadharan","12"
"erushton","sselhorn","12"
"fneill","kpaizee","11"
"faleksic","fneill","11"
"josephburnett","tmaczukin","11"
"fneill","mbradburn-ext","11"
"avonbertoldi","mbradburn-ext","11"
"stanhu","sxuereb","10"
"ashrafkhamis","fneill","10"
"ajwalker","dbickford","10"
"ratchade","tmaczukin","10"
"ajwalker","sselhorn","10"
"ggeorgiev_gitlab","rsarangadharan","9"
"axil","sxuereb","9"
"aqualls","eread","9"
"lraykov","sxuereb","9"
"axil","marcel.amirault","9"
"marcel.amirault","rsarangadharan","9"
"faleksic","rsarangadharan","9"
"ratchade","sselhorn","9"
"tmaczukin","zj-gitlab","8"
"ajwalker","akohlbecker","8"
"eread","fneill","8"
"eread","rdickenson","8"
"fneill","sselhorn","8"
"pedropombeiro","sselhorn","8"
"rsarangadharan","stanhu","8"
"katrinleinweber-gtlb","sselhorn","8"
"bbodenmiller","sxuereb","8"
"dianalogan","fneill","8"
"avonbertoldi","pedropombeiro","8"
"fneill","phillipwells","8"
"erushton","tmaczukin","8"
"bbodenmiller","sselhorn","8"
"DarrenEastman","lciutacu","7"
"stanhu","tmaczukin","7"
"fabiomatavelli","sxuereb","7"
"ajwalker","ayufan","7"
"e_munn","rsarangadharan","7"
"DarrenEastman","ratchade","7"
"lraykov","tmaczukin","7"
"akohlbecker","pedropombeiro","7"
"sselhorn","stanhu","7"
"sselhorn","tmaczukin","6"
"ashrafkhamis","hoegaarden","6"
"jcaigitlab","sselhorn","6"
"bbodenmiller","tmaczukin","6"
"ajwalker","mbradburn-ext","6"
"josephburnett","ratchade","6"
"fneill","marcel.amirault","6"
"fneill","tmaczukin","6"
"ajwalker","erushton","6"
"grzesiek","tmaczukin","6"
"ajwalker","eread","6"
"ajwalker","jcaigitlab","5"
"DarrenEastman","avonbertoldi","5"
"eread","msedlakjakubowski","5"
"ayufan","bbodenmiller","5"
"dbickford","tmaczukin","5"
"pedropombeiro","stanhu","5"
"Taucher2003","sselhorn","5"
"fneill","stanhu","5"
"kategrechishkina","sselhorn","5"
"phillipwells","sselhorn","5"
"eread","tmaczukin","5"
"akohlbecker","tmaczukin","5"
"ratchade","stanhu","5"
"marcel.amirault","stanhu","5"
"nelbacha","sselhorn","5"
"swainaina","sxuereb","5"
"e_munn","sselhorn","5"
"cnorris","sselhorn","5"
"marcel.amirault","tmaczukin","5"
"aqualls","fneill","5"
"Ravlen","axil","5"
"ggeorgiev_gitlab","marcel.amirault","5"
"fneill","jessie","5"
